TicketID,Date,AgentID,Priority,Category,Channel,ResolutionMinutes,Status,SLA_Met,Escalated,FCR,CSAT,Revenue,Profit
1,2024-09-06,1007,Medium,Technical Issue,Phone,157,Resolved,False,False,False,3,399.33,181.66
2,2025-05-25,1020,Medium,Account Access,Email,68,Open,False,False,False,4,50.4,25.31
3,2025-05-04,1001,Medium,Technical Issue,Email,98,Closed,True,True,True,4,179.46,73.06
4,2024-09-20,1007,Medium,Bug Report,Email,154,Resolved,True,False,True,4,69.29,47.86
5,2025-01-17,1023,High,General Inquiry,Chat,164,Closed,True,False,True,4,59.16,39.23
6,2024-10-17,1009,Low,Billing,Email,41,Resolved,True,True,True,4,394.64,151.11
7,2024-12-17,1015,Medium,Feature Request,Chat,44,Open,False,True,False,3,873.94,310.52
8,2024-08-04,1016,Medium,Billing,Social Media,82,In Progress,True,False,False,4,457.77,296.78
9,2024-08-13,1012,Medium,Bug Report,Web Portal,71,Closed,True,False,True,5,151.76,90.4
10,2024-08-16,1003,Medium,Bug Report,Web Portal,78,Open,True,False,True,5,261.21,123.02
11,2024-12-06,1001,Medium,Technical Issue,Email,104,Closed,True,False,False,4,83.62,43.92
12,2025-03-23,1007,High,Bug Report,Chat,195,In Progress,True,True,False,3,163.41,90.12
13,2025-01-13,1007,High,Bug Report,Email,158,Resolved,True,False,True,4,295.29,193.55
14,2024-11-18,1016,Low,General Inquiry,Phone,65,Resolved,True,False,False,4,42.42,27.88
15,2024-07-22,1020,Medium,Billing,Phone,77,Open,True,False,True,4,489.22,252.73
16,2025-05-19,1002,High,Account Access,Phone,123,Open,True,True,True,4,75.85,40.09
17,2024-07-19,1018,High,Billing,Phone,150,Resolved,True,False,False,4,500.13,338.37
18,2024-09-05,1013,Medium,Billing,Web Portal,74,Pending Customer,True,False,True,5,284.69,151.35
19,2025-05-25,1004,Low,Account Access,Email,63,Resolved,False,True,False,3,76.66,40.6
20,2024-08-12,1017,Critical,Billing,Phone,119,Closed,True,True,False,4,136.85,66.14
21,2025-02-26,1005,High,Technical Issue,Chat,166,Closed,True,False,False,5,107.53,54.34
22,2025-04-14,1010,Medium,Technical Issue,Web Portal,82,Pending Customer,True,False,False,5,146.64,97.18
23,2024-11-17,1017,Medium,Billing,Phone,55,Closed,True,True,False,4,312.28,171.84
24,2024-08-17,1016,Medium,Account Access,Phone,105,Open,True,False,True,4,57.78,32.27
25,2025-03-26,1016,High,Billing,Chat,231,Resolved,True,False,True,4,229.08,142.43
26,2024-11-03,1012,Medium,Account Access,Chat,58,Resolved,True,False,True,5,101.15,55.02
27,2025-05-12,1017,High,Billing,Chat,100,Open,True,False,False,5,231.68,147.16
28,2024-12-09,1006,Medium,General Inquiry,Email,92,Closed,True,True,False,3,26.17,11.7
29,2025-04-05,1014,Low,Account Access,Phone,63,Closed,False,True,False,3,175.57,66.52
30,2025-03-15,1011,Low,General Inquiry,Web Portal,53,Resolved,False,False,True,4,53.69,26.71
31,2024-09-19,1006,Low,Bug Report,Email,34,Closed,True,False,True,4,172.07,99.6
32,2025-01-08,1020,Critical,Feature Request,Web Portal,144,Resolved,True,False,False,4,315.55,182.43
33,2025-06-26,1003,Low,Bug Report,Web Portal,41,Closed,True,False,True,5,127.08,60.88
34,2025-01-24,1006,High,Billing,Phone,121,Resolved,True,True,True,4,502.72,213.87
35,2025-05-24,1012,Low,Account Access,Email,55,Closed,True,False,True,4,50.76,29.37
36,2025-06-25,1007,High,Technical Issue,Phone,155,Resolved,True,True,False,3,323.62,165.69
37,2024-11-06,1009,High,Billing,Phone,131,Closed,True,False,True,5,429.43,252.23
38,2025-01-14,1002,Low,Account Access,Phone,31,Closed,True,False,True,5,98.9,57.53
39,2025-03-29,1012,High,Technical Issue,Phone,108,Open,True,False,True,4,93.69,45.83
40,2024-07-28,1013,Low,Feature Request,Email,79,Resolved,True,True,False,3,534.33,317.01
41,2024-08-20,1017,Low,Feature Request,Phone,41,Resolved,True,False,True,5,518.98,259.96
42,2024-09-18,1017,High,Technical Issue,Chat,89,Pending Customer,True,False,True,5,249.85,174.75
43,2024-10-31,1005,Medium,Technical Issue,Email,83,Resolved,True,False,True,5,303.69,151.09
44,2024-10-06,1008,Low,Technical Issue,Chat,59,Resolved,True,False,True,4,88.61,40.72
45,2024-08-07,1009,Low,Bug Report,Email,40,In Progress,True,False,True,4,178.66,86.35
46,2025-02-15,1004,Low,Technical Issue,Chat,55,Resolved,True,False,False,4,289.17,201.64
47,2024-10-03,1018,Medium,Billing,Email,98,In Progress,False,True,False,3,448.96,190.68
48,2024-12-06,1003,High,Feature Request,Email,101,Resolved,True,False,True,4,450.46,284.46
49,2024-12-13,1004,Medium,Technical Issue,Web Portal,146,Pending Customer,True,False,False,4,181.64,99.88
50,2024-11-05,1017,Critical,General Inquiry,Email,153,Closed,True,False,False,4,47.32,23.13
51,2024-09-29,1006,Critical,Technical Issue,Web Portal,235,Closed,True,True,False,3,87.15,48.84
52,2025-04-06,1019,High,Technical Issue,Email,172,Closed,True,True,True,4,111.18,61.6
53,2024-10-21,1023,Medium,Bug Report,Email,109,Resolved,True,False,True,4,177.13,115.35
54,2024-07-24,1020,Medium,General Inquiry,Chat,86,Closed,True,False,False,5,64.82,37.66
55,2025-02-01,1004,Low,Bug Report,Email,53,In Progress,True,False,True,4,186.98,96.95
56,2024-12-05,1016,Medium,Billing,Email,138,Resolved,True,False,True,4,504.19,266.28
57,2024-10-20,1012,Medium,Technical Issue,Phone,75,Pending Customer,True,False,True,5,379.95,230.51
58,2025-03-03,1018,Low,Technical Issue,Phone,59,Resolved,True,False,True,5,207.82,104.82
59,2025-03-28,1013,Low,Feature Request,Chat,45,Closed,True,False,False,4,515.01,263.5
60,2025-01-29,1006,High,Billing,Email,161,Open,True,False,False,4,376.6,183.65
61,2024-10-13,1001,Low,General Inquiry,Web Portal,40,Closed,True,False,True,4,52.81,36.38
62,2024-12-03,1017,Critical,Billing,Email,153,Pending Customer,True,False,True,5,357.21,245.28
63,2024-12-07,1011,Medium,Technical Issue,Social Media,102,In Progress,False,True,True,3,296.27,159.0
64,2025-05-31,1004,Medium,General Inquiry,Chat,114,In Progress,True,True,False,3,79.12,41.92
65,2024-11-26,1005,Medium,Bug Report,Chat,105,Resolved,True,False,True,4,150.37,71.79
66,2025-04-15,1009,Medium,Technical Issue,Phone,77,Resolved,True,False,True,5,137.36,68.45
67,2025-04-30,1015,Medium,Account Access,Email,73,Resolved,True,False,True,5,169.77,82.3
68,2025-06-19,1005,Medium,Billing,Phone,58,Resolved,True,False,False,4,436.91,263.09
69,2024-10-05,1011,High,Technical Issue,Email,143,In Progress,True,False,False,4,130.67,83.84
70,2024-10-28,1018,Medium,Technical Issue,Email,90,Closed,True,False,False,5,143.11,98.21
71,2024-08-12,1007,High,Technical Issue,Phone,182,Resolved,False,False,True,4,224.73,142.13
72,2025-04-05,1019,Medium,Account Access,Web Portal,95,Closed,True,False,True,4,170.76,77.0
73,2024-11-01,1012,Low,Billing,Email,46,Resolved,True,False,True,5,566.35,396.28
74,2025-01-12,1022,Medium,Technical Issue,Chat,54,Resolved,True,True,False,3,209.83,91.08
75,2025-04-17,1008,Low,Account Access,Chat,81,In Progress,True,False,True,4,88.36,59.57
76,2025-01-25,1019,Low,Technical Issue,Social Media,84,Closed,True,False,True,4,369.68,214.97
77,2025-02-01,1014,Low,Billing,Email,64,Resolved,True,False,True,5,266.28,159.33
78,2025-02-14,1004,High,General Inquiry,Social Media,190,Pending Customer,True,False,False,4,85.82,57.49
79,2025-01-05,1022,Low,Technical Issue,Web Portal,33,Closed,True,False,False,4,333.55,160.42
80,2024-07-01,1015,High,Feature Request,Email,76,Resolved,True,False,True,5,684.59,347.57
81,2024-12-08,1015,High,Technical Issue,Web Portal,122,Open,True,True,True,5,366.98,146.38
82,2025-02-27,1012,Critical,Technical Issue,Chat,194,Open,True,True,False,4,288.04,122.85
83,2025-02-01,1009,Medium,Account Access,Chat,105,Resolved,True,True,True,4,139.48,55.67
84,2025-03-14,1008,Medium,General Inquiry,Phone,135,Resolved,True,False,True,4,84.87,52.34
85,2025-06-07,1021,Critical,Bug Report,Phone,190,Resolved,True,True,False,3,120.22,66.22
86,2024-10-06,1010,High,Billing,Phone,108,In Progress,True,False,True,5,480.28,262.32
87,2024-07-31,1016,High,Technical Issue,Chat,169,Closed,True,False,False,4,350.53,217.7
88,2024-09-28,1018,Medium,Feature Request,Email,77,Closed,True,False,True,5,705.1,363.07
89,2025-05-05,1019,Medium,Account Access,Chat,135,Closed,True,False,True,4,42.49,24.39
90,2024-11-12,1015,Low,Account Access,Email,26,Closed,True,False,True,5,47.56,26.46
91,2025-03-27,1020,Low,Feature Request,Phone,45,Closed,True,False,True,5,661.31,396.11
92,2025-01-27,1011,Medium,Feature Request,Chat,118,Pending Customer,True,False,True,4,721.22,418.61
93,2024-11-01,1001,Medium,Technical Issue,Email,96,Closed,True,False,False,4,309.45,214.76
94,2024-11-07,1010,High,General Inquiry,Phone,100,Closed,True,False,False,5,35.28,17.29
95,2024-12-23,1002,Medium,Bug Report,Web Portal,85,Resolved,True,False,False,4,150.89,69.76
96,2024-10-03,1008,Low,General Inquiry,Phone,67,Closed,True,False,True,4,63.87,31.64
97,2025-01-13,1018,Medium,Account Access,Email,102,Resolved,True,False,False,4,119.43,73.13
98,2025-01-01,1004,Critical,Feature Request,Chat,226,In Progress,True,False,True,5,787.17,442.77
99,2024-12-14,1013,High,General Inquiry,Chat,154,Resolved,True,False,True,4,28.93,14.53
100,2025-04-05,1016,Medium,Technical Issue,Phone,98,Resolved,True,False,False,4,251.19,141.25
101,2024-12-30,1017,High,Billing,Phone,76,Resolved,False,True,False,3,508.21,301.83
102,2024-08-04,1022,Low,Billing,Chat,44,Resolved,True,False,True,5,163.15,90.86
103,2025-03-08,1002,Medium,Billing,Phone,59,Resolved,True,False,True,4,439.3,224.02
104,2025-02-02,1011,Low,Technical Issue,Email,65,Resolved,True,False,False,4,371.1,251.64
105,2025-03-11,1013,Low,Billing,Chat,75,In Progress,False,True,True,3,262.71,145.49
106,2025-02-26,1021,Medium,Billing,Web Portal,53,Resolved,True,False,True,4,380.57,229.56
107,2025-02-23,1003,Low,Technical Issue,Web Portal,29,Resolved,True,False,True,5,392.63,191.39
108,2024-11-10,1008,Medium,Billing,Email,127,Closed,True,False,True,4,383.1,232.2
109,2024-12-18,1023,High,Account Access,Email,221,Closed,True,False,True,4,62.54,33.35
110,2024-11-28,1019,Medium,Billing,Chat,122,Resolved,True,False,True,4,366.6,176.52
111,2024-08-22,1003,Low,Billing,Web Portal,40,Resolved,True,True,False,4,351.35,153.24
112,2025-01-17,1023,High,Technical Issue,Phone,207,Closed,True,False,True,4,121.4,84.48
113,2025-05-15,1005,Medium,Billing,Email,68,Open,True,False,True,5,346.48,216.02
114,2024-11-15,1005,Medium,Technical Issue,Chat,78,Resolved,True,False,True,5,117.88,54.3
115,2024-08-31,1018,Medium,Bug Report,Web Portal,97,Closed,True,True,False,4,215.9,87.64
116,2024-09-11,1014,Low,Technical Issue,Chat,58,Closed,True,False,True,4,378.73,194.23
117,2024-09-16,1004,High,Account Access,Phone,151,Resolved,True,True,False,3,91.22,37.85
118,2024-07-04,1003,Low,Billing,Email,32,Open,True,False,True,5,352.44,195.13
119,2025-04-12,1013,Critical,Technical Issue,Chat,282,Open,False,False,False,4,221.82,146.05
120,2024-07-14,1006,Low,Technical Issue,Chat,39,Closed,False,False,True,4,363.67,169.44
121,2024-11-13,1017,Low,General Inquiry,Chat,30,Resolved,True,False,True,5,27.06,18.61
122,2025-01-26,1023,High,Bug Report,Email,196,Closed,True,False,True,4,254.58,137.77
123,2024-12-07,1012,High,Bug Report,Email,94,Resolved,True,False,True,5,191.1,118.49
124,2024-09-18,1004,High,Billing,Phone,136,In Progress,True,False,True,4,577.1,289.23
125,2024-08-04,1011,Low,Account Access,Social Media,52,Closed,True,False,True,5,64.89,33.64
126,2024-10-02,1011,Low,Technical Issue,Email,61,Closed,True,False,True,5,190.27,106.53
127,2025-03-16,1014,Low,Bug Report,Email,64,Closed,True,False,True,5,180.36,98.09
128,2025-03-21,1002,Low,Technical Issue,Phone,34,Open,False,True,True,3,185.0,76.59
129,2025-02-26,1007,Low,Technical Issue,Web Portal,55,Open,True,False,True,4,287.75,196.94
130,2025-03-19,1004,High,Billing,Email,139,Closed,True,False,True,4,126.89,70.64
131,2024-10-31,1021,Critical,Technical Issue,Chat,186,Open,True,False,False,5,255.77,173.01
132,2025-01-04,1005,High,Billing,Web Portal,176,Closed,True,True,False,4,134.96,70.24
133,2024-08-06,1016,Critical,Technical Issue,Phone,246,Open,False,False,False,4,201.03,131.5
134,2024-11-20,1021,Medium,Billing,Email,87,Closed,True,False,True,4,244.12,130.85
135,2024-10-09,1010,Critical,Account Access,Email,225,Closed,True,False,True,4,77.22,41.98
136,2025-02-19,1009,High,Account Access,Email,140,Resolved,True,False,True,4,162.75,111.97
137,2025-02-18,1021,High,Technical Issue,Email,118,Resolved,True,False,True,4,266.97,164.09
138,2025-06-21,1022,Critical,Technical Issue,Email,158,Open,True,False,False,4,112.66,75.49
139,2025-04-06,1004,Medium,Technical Issue,Email,135,In Progress,False,True,False,3,396.76,219.77
140,2025-05-21,1022,High,Account Access,Email,114,Closed,True,False,True,4,42.94,27.8
141,2025-05-29,1008,Medium,Account Access,Email,160,Open,True,False,False,4,121.8,69.95
142,2025-01-19,1017,Critical,General Inquiry,Email,176,In Progress,True,False,False,5,87.89,49.96
143,2025-02-25,1014,High,Billing,Phone,194,Resolved,True,True,False,3,587.72,319.75
144,2025-04-15,1017,High,Technical Issue,Email,69,Resolved,True,False,False,4,212.46,98.49
145,2024-09-26,1015,Medium,Technical Issue,Web Portal,43,In Progress,True,False,False,5,210.06,126.68
146,2025-01-28,1004,Low,Billing,Chat,51,In Progress,True,False,True,4,314.38,180.25
147,2025-05-26,1018,Low,Feature Request,Phone,41,Pending Customer,True,False,True,5,826.95,414.23
148,2024-09-09,1018,Medium,Technical Issue,Web Portal,75,Resolved,True,False,True,4,217.36,123.73
149,2024-12-18,1014,Medium,Account Access,Web Portal,71,Resolved,True,False,True,4,53.89,29.26
150,2024-10-26,1016,Medium,Technical Issue,Chat,102,Closed,True,True,False,3,158.81,93.83
151,2024-10-16,1010,Medium,Technical Issue,Email,79,Open,True,False,True,4,160.63,83.13
152,2025-05-28,1014,Low,Technical Issue,Email,62,In Progress,False,False,False,3,181.56,118.89
153,2024-11-22,1021,Critical,Feature Request,Email,201,Closed,True,False,False,4,854.03,545.03
154,2025-03-03,1001,Medium,Feature Request,Social Media,116,Closed,False,False,True,4,464.49,261.01
155,2025-02-13,1004,High,Feature Request,Email,148,Pending Customer,True,False,False,3,282.87,149.22
156,2024-08-28,1018,Low,Billing,Phone,48,Resolved,True,False,False,4,135.06,75.36
157,2025-06-25,1022,Low,Technical Issue,Chat,37,Resolved,True,False,True,4,267.46,133.87
158,2025-05-30,1006,High,Technical Issue,Phone,123,Resolved,True,False,True,5,233.75,162.49
159,2025-03-08,1023,High,Billing,Chat,195,Closed,True,True,False,3,463.91,212.56
160,2024-10-01,1018,Low,Bug Report,Phone,46,Closed,True,False,True,4,263.38,120.83
161,2024-09-20,1019,Medium,Billing,Email,152,Closed,True,False,True,4,224.87,112.39
162,2024-12-24,1020,High,Feature Request,Chat,147,In Progress,True,False,True,5,703.0,367.47
163,2024-08-26,1009,High,Account Access,Phone,118,Resolved,True,True,True,4,78.17,32.93
164,2024-09-16,1017,Low,Account Access,Web Portal,39,Open,True,False,True,5,132.39,90.0
165,2024-12-04,1009,Critical,Bug Report,Phone,244,Open,False,True,False,3,286.47,136.48
166,2024-10-27,1012,Critical,Technical Issue,Phone,235,Resolved,True,True,True,4,387.56,154.57
167,2024-09-11,1012,Critical,Feature Request,Email,134,Resolved,True,False,False,5,749.37,434.86
168,2025-06-13,1017,High,Technical Issue,Phone,92,Closed,True,False,True,5,105.18,60.14
169,2024-08-15,1018,High,Billing,Email,150,Resolved,True,False,False,5,532.15,363.85
170,2025-04-29,1016,Low,Technical Issue,Web Portal,57,Resolved,True,False,True,5,114.93,60.28
171,2025-01-29,1001,Critical,General Inquiry,Chat,236,Pending Customer,True,False,False,4,24.75,16.05
172,2025-01-25,1008,Medium,Billing,Phone,153,Closed,True,True,False,3,370.15,162.12
173,2024-09-28,1014,High,Billing,Phone,134,Closed,True,True,False,3,405.85,200.31
174,2024-10-03,1001,High,Account Access,Phone,178,Closed,True,True,False,3,135.86,64.66
175,2025-01-29,1002,Medium,Account Access,Chat,50,Pending Customer,False,False,False,4,133.86,68.02
176,2025-01-11,1007,Low,Technical Issue,Social Media,52,Resolved,True,False,True,4,385.35,214.34
177,2024-10-14,1003,High,Technical Issue,Email,102,Closed,True,True,False,3,93.69,38.35
178,2025-06-08,1008,Medium,Billing,Email,106,Resolved,True,True,True,3,143.64,61.3
179,2024-11-18,1004,Medium,Technical Issue,Phone,134,Open,True,False,True,4,104.54,55.13
180,2025-03-15,1022,High,Bug Report,Chat,87,Resolved,True,False,False,4,299.37,171.27
181,2025-02-26,1005,Low,Account Access,Chat,45,Resolved,False,True,True,3,69.62,24.71
182,2025-05-10,1016,Medium,Technical Issue,Email,78,Closed,True,True,True,4,198.2,92.8
183,2024-09-24,1011,Medium,General Inquiry,Chat,88,In Progress,True,False,True,5,36.33,24.85
184,2024-09-22,1022,Medium,Technical Issue,Web Portal,79,Closed,True,False,True,5,304.66,162.97
185,2025-06-17,1021,Critical,Technical Issue,Email,215,Open,True,False,False,4,208.29,119.65
186,2025-02-22,1019,Critical,Billing,Chat,220,Closed,True,True,False,3,254.52,92.3
187,2024-07-22,1013,High,Bug Report,Phone,167,Closed,True,False,False,4,129.75,85.67
188,2024-10-09,1011,Medium,Feature Request,Phone,81,In Progress,True,True,True,4,391.43,166.13
