TicketID,TicketNumber,EmployeeID,CustomerID,CreatedDate,Priority,Category,Channel,ResolutionMinutes,Status,SLA,Escalated,CSAT,FirstContactResolution
1,TKT-000001,155,3701,8/17/2025,Medium,Account Access,Email,127,Pending Customer,true,false,5,true
2,TKT-000002,114,4275,8/19/2024,Medium,Feature Request,Web Portal,69,Open,true,true,3,false
3,TKT-000003,1,989,7/20/2026,High,Account Access,Email,342,Resolved,false,true,2,false
4,TKT-000004,190,3729,8/5/2024,Medium,Feature Request,Chat,189,Closed,true,false,4,false
5,TKT-000005,56,4042,12/1/2025,Medium,General Inquiry,Email,192,Closed,true,true,4,true
6,TKT-000006,88,4764,12/22/2025,High,Account Access,Social Media,188,Resolved,true,true,3,true
7,TKT-000007,9,3269,9/9/2024,High,Billing,Phone,212,Resolved,false,false,3,true
8,TKT-000008,111,3805,4/30/2024,Medium,Technical Issue,Social Media,227,Closed,false,true,3,true
9,TKT-000009,49,946,8/23/2025,Medium,Technical Issue,Web Portal,154,Resolved,true,false,4,false
10,TKT-000010,27,719,8/31/2024,Critical,Billing,Email,307,Open,false,false,4,true
11,TKT-000011,129,1526,11/27/2026,High,Account Access,Email,388,Closed,false,true,2,false
12,TKT-000012,155,3986,4/2/2024,Critical,Billing,Chat,217,Resolved,false,true,2,false
13,TKT-000013,16,1607,12/22/2025,Medium,Account Access,Chat,170,Pending Customer,true,false,5,true
14,TKT-000014,99,1173,3/11/2026,High,Bug Report,Chat,280,Closed,true,false,4,false
15,TKT-000015,43,668,11/10/2025,Low,Feature Request,Email,37,In Progress,true,false,5,true
16,TKT-000016,14,4528,2/22/2025,High,Billing,Email,151,Closed,true,false,4,false
17,TKT-000017,53,3654,9/10/2024,High,Technical Issue,Web Portal,348,Resolved,false,true,2,false
18,TKT-000018,185,2499,8/10/2025,High,Billing,Phone,356,Closed,false,false,3,false
19,TKT-000019,178,2040,11/7/2024,Low,Technical Issue,Email,93,Closed,true,false,5,true
20,TKT-000020,61,496,10/18/2024,Critical,Account Access,Email,221,Closed,true,true,3,false
21,TKT-000021,196,3321,4/19/2026,Medium,Technical Issue,Chat,155,Closed,true,false,4,true
22,TKT-000022,52,2491,6/19/2024,Low,General Inquiry,Email,117,Closed,true,false,4,true
23,TKT-000023,92,369,9/19/2024,Medium,Billing,Email,104,Pending Customer,false,false,3,true
24,TKT-000024,152,1142,9/12/2026,Critical,Feature Request,Chat,254,Resolved,false,true,3,false
25,TKT-000025,38,3379,10/29/2025,High,Account Access,Chat,383,Resolved,false,false,3,false
26,TKT-000026,135,207,4/1/2025,Critical,Feature Request,Phone,466,Resolved,false,true,2,false
27,TKT-000027,200,2043,7/10/2025,Medium,Technical Issue,Email,60,Closed,true,false,4,true
28,TKT-000028,121,4593,10/11/2024,High,Billing,Phone,146,Open,false,false,4,false
29,TKT-000029,96,2003,11/22/2026,Medium,General Inquiry,Social Media,202,Resolved,false,false,3,true
30,TKT-000030,123,1824,10/22/2025,Critical,Technical Issue,Phone,309,Open,false,false,3,false
31,TKT-000031,67,3546,7/29/2024,Low,Technical Issue,Email,144,Resolved,true,false,4,true
32,TKT-000032,40,4276,7/18/2024,Medium,Technical Issue,Chat,71,Closed,true,false,5,true
33,TKT-000033,108,2388,6/28/2026,Critical,Billing,Email,444,Resolved,true,false,3,false
34,TKT-000034,189,2910,4/17/2024,Medium,Account Access,Chat,184,Open,true,false,5,true
35,TKT-000035,194,3685,1/4/2025,Critical,Account Access,Email,226,Closed,true,true,3,false
36,TKT-000036,17,2037,3/18/2024,Medium,Billing,Email,242,Closed,true,false,5,true
37,TKT-000037,15,4025,8/27/2025,High,Technical Issue,Phone,219,In Progress,true,false,4,false
38,TKT-000038,81,1557,1/8/2024,Medium,Billing,Phone,177,Resolved,true,false,4,false
